Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year
Slam,1009819,1087521,NA,1000000,Oct 09 1998,R,NA,Trimark,Original Screenplay,Drama,Contemporary Fiction,NA,62,3.4,165,1998
Pirates,1641825,6341825,NA,40000000,Jul 01 1986,R,NA,NA,NA,(Missing),NA,Roman Polanski,25,5.8,3275,1986
Duel in the Sun,20400000,20400000,NA,6000000,Dec 31 2046,(Missing),NA,NA,NA,(Missing),NA,NA,86,7,2906,2046
Tom Jones,37600000,37600000,NA,1000000,Oct 07 1963,(Missing),NA,NA,NA,(Missing),NA,NA,81,7,4035,1963
Oliver!,37402877,37402877,NA,10000000,Dec 11 1968,(Missing),NA,Sony Pictures,NA,Musical,NA,NA,84,7.5,9111,1968
To Kill A Mockingbird,13129846,13129846,NA,2000000,Dec 25 1962,(Missing),NA,Universal,NA,(Missing),NA,NA,97,8.4,82786,1962
Hollywood Shuffle,5228617,5228617,NA,100000,Mar 01 1987,(Missing),NA,NA,NA,(Missing),NA,NA,87,6.8,1532,1987
The Ten Commandments,80000000,80000000,NA,13500000,Oct 05 1956,(Missing),NA,NA,NA,(Missing),NA,NA,90,2.5,1677,1956
1776,0,0,NA,4000000,Nov 09 1972,PG,NA,Sony/Columbia,Based on Play,Drama,Historical Fiction,NA,57,7,4099,1972
1941,34175000,94875000,NA,32000000,Dec 14 1979,(Missing),NA,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364,1979
2001: A Space Odyssey,56700000,68700000,NA,10500000,Apr 02 1968,(Missing),NA,NA,Original Screenplay,(Missing),Science Fiction,Stanley Kubrick,96,8.4,160342,1968
Twin Falls Idaho,985341,1027228,NA,500000,Jul 30 1999,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810,1999
3 Ninjas Kick Back,11744960,11744960,NA,20000000,May 06 1994,PG,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,NA,17,3.2,3107,1994
42nd Street,2300000,2300000,NA,439000,Mar 09 2033,(Missing),NA,Warner Bros.,Based on Book/Short Story,Musical,NA,NA,95,7.7,4263,2033
Four Rooms,4301000,4301000,NA,4000000,Dec 25 1995,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328,1995
The Four Seasons,42488161,42488161,NA,6500000,May 22 1981,(Missing),NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814,1981
Four Weddings and a Funeral,52700832,242895809,NA,4500000,Mar 09 1994,R,NA,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003,1994
51 Birch Street,84689,84689,NA,350000,Oct 18 2006,Not Rated,NA,Truly Indie,NA,(Missing),NA,NA,97,7.4,439,2006
55 Days at Peking,10000000,10000000,NA,17000000,Dec 31 1962,(Missing),NA,NA,Original Screenplay,Drama,NA,NA,57,6.8,2104,1962
