factor_id,purity,n_articles,factor_rank,factor_label
20133,1,71,1,1 | factor 20133
23579,1,22,2,2 | factor 23579
30673,1,22,3,3 | factor 30673
2620,1,20,4,4 | factor 2620
5989,0.9943779201385592,29,5,5 | factor 5989
25981,0.9938399800672312,35,6,6 | factor 25981
13221,0.990456979429355,24,7,7 | factor 13221
22135,0.9892204607449098,189,8,8 | factor 22135
3244,0.9885800139234476,75,9,9 | factor 3244
1970,0.988283922472972,20,10,10 | factor 1970
30102,0.9868212886747414,42,11,11 | factor 30102
4443,0.9787317127476056,26,12,12 | factor 4443
17330,0.9785278471565519,41,13,13 | factor 17330
21804,0.9784428174315382,157,14,14 | factor 21804
15053,0.9780759747044857,153,15,15 | factor 15053
2169,0.9770688227849527,27,16,16 | factor 2169
10075,0.9759825551767445,38,17,17 | factor 10075
9254,0.9749523760958163,224,18,18 | factor 9254
9951,0.9731014153310822,87,19,19 | factor 9951
27267,0.9727915117395117,21,20,20 | factor 27267
29280,0.9727219881216594,34,21,21 | factor 29280
18866,0.9713232570146315,31,22,22 | factor 18866
5178,0.9706456659182425,204,23,23 | factor 5178
8945,0.9703134645496889,33,24,24 | factor 8945
30985,0.9697637375619053,47,25,25 | factor 30985
9507,0.9692374391981899,193,26,26 | factor 9507
6373,0.9685822914262782,21,27,27 | factor 6373
9294,0.9675185732904735,169,28,28 | factor 9294
16205,0.9673187124999972,126,29,29 | factor 16205
14043,0.9670755750323456,73,30,30 | factor 14043
17162,0.9667609956771192,137,31,31 | factor 17162
7093,0.9652549591695269,269,32,32 | factor 7093
94,0.9648967869335383,73,33,33 | factor 94
17075,0.9634880602431274,372,34,34 | factor 17075
286,0.9632218821528097,32,35,35 | factor 286
3330,0.9619612884072609,51,36,36 | factor 3330
3910,0.9615353468264587,84,37,37 | factor 3910
9181,0.9596694195555066,28,38,38 | factor 9181
31240,0.959659996350688,131,39,39 | factor 31240
14378,0.9589457923533512,32,40,40 | factor 14378
19401,0.9586359814036196,185,41,41 | factor 19401
28005,0.958469768286062,130,42,42 | factor 28005
30606,0.9582265470393091,25,43,43 | factor 30606
26577,0.9576857414896456,315,44,44 | factor 26577
3633,0.9567657869266684,32,45,45 | factor 3633
27678,0.9563715938288501,47,46,46 | factor 27678
27544,0.9552602025435942,75,47,47 | factor 27544
963,0.9550906102474352,94,48,48 | factor 963
15033,0.953490949683454,22,49,49 | factor 15033
32632,0.9531962089970359,810,50,50 | factor 32632
29569,0.9522114977861941,53,51,51 | factor 29569
9767,0.9516320479885849,541,52,52 | factor 9767
26324,0.9512564261706177,135,53,53 | factor 26324
26997,0.9510446490522964,98,54,54 | factor 26997
22900,0.9502588818926936,106,55,55 | factor 22900
5090,0.949634793855214,694,56,56 | factor 5090
31388,0.9496227455464255,31,57,57 | factor 31388
24584,0.948725845511826,404,58,58 | factor 24584
23457,0.9485074844000744,56,59,59 | factor 23457
24780,0.9483729998261313,152,60,60 | factor 24780
19040,0.9480988669024687,35,61,61 | factor 19040
4185,0.9480389051656907,512,62,62 | factor 4185
3168,0.9480293775539397,215,63,63 | factor 3168
6705,0.9478669172033115,100,64,64 | factor 6705
5992,0.94773297971659,21,65,65 | factor 5992
11410,0.9472692453272099,66,66,66 | factor 11410
5563,0.9470372863813618,556,67,67 | factor 5563
23248,0.9461837536727672,49,68,68 | factor 23248
3243,0.9460125223828111,26,69,69 | factor 3243
519,0.9453661661028177,55,70,70 | factor 519
6479,0.944998350289528,71,71,71 | factor 6479
22594,0.9449351787176198,161,72,72 | factor 22594
29355,0.9448810889857849,76,73,73 | factor 29355
9880,0.9444578948593205,102,74,74 | factor 9880
19396,0.9437524115282779,435,75,75 | factor 19396
24828,0.9422475769967529,32,76,76 | factor 24828
5231,0.9413571054814334,72,77,77 | factor 5231
17897,0.9411072224216838,219,78,78 | factor 17897
26807,0.940667431043097,333,79,79 | factor 26807
14810,0.9404781462226908,39,80,80 | factor 14810
25571,0.9404447724499002,78,81,81 | factor 25571
885,0.9403996853037025,40,82,82 | factor 885
1028,0.9400560876745203,90,83,83 | factor 1028
5079,0.9395673841661165,339,84,84 | factor 5079
4061,0.939501475381251,121,85,85 | factor 4061
31115,0.9393751531636761,1048,86,86 | factor 31115
28129,0.9392856769899665,27,87,87 | factor 28129
12325,0.9391405414147463,93,88,88 | factor 12325
11882,0.9388024727007337,34,89,89 | factor 11882
27885,0.9370346441853045,41,90,90 | factor 27885
5182,0.9359915145754885,46,91,91 | factor 5182
